Series_Title,Released_Year,Actor_Id
Kimi no na wa.,2016,197
Dangal,2016,198
Dangal,2016,199
Dangal,2016,200
Dangal,2016,201
Spider-Man: Into the Spider-Verse,2018,202
Spider-Man: Into the Spider-Verse,2018,203
Spider-Man: Into the Spider-Verse,2018,204
Spider-Man: Into the Spider-Verse,2018,205
Avengers: Endgame,2019,206
Avengers: Endgame,2019,207
Avengers: Endgame,2019,208
Avengers: Endgame,2019,209
Avengers: Infinity War,2018,206
Avengers: Infinity War,2018,207
Avengers: Infinity War,2018,210
Avengers: Infinity War,2018,209
Coco,2017,211
Coco,2017,212
Coco,2017,213
Coco,2017,214
Django Unchained,2012,215
Django Unchained,2012,216
Django Unchained,2012,30
Django Unchained,2012,217
The Dark Knight Rises,2012,8
The Dark Knight Rises,2012,218
The Dark Knight Rises,2012,75
The Dark Knight Rises,2012,143
3 Idiots,2009,198
3 Idiots,2009,71
3 Idiots,2009,219
3 Idiots,2009,220
Taare Zameen Par,2007,221
Taare Zameen Par,2007,222
Taare Zameen Par,2007,198
Taare Zameen Par,2007,223
WALL·E,2008,224
WALL·E,2008,225
WALL·E,2008,226
WALL·E,2008,227
The Lives of Others,2006,228
The Lives of Others,2006,229
The Lives of Others,2006,230
The Lives of Others,2006,231
Oldeuboi,2003,232
Oldeuboi,2003,233
Oldeuboi,2003,234
Oldeuboi,2003,235
Memento,2000,236
Memento,2000,50
Memento,2000,237
Memento,2000,238
Mononoke-hime,1997,239
Mononoke-hime,1997,240
Mononoke-hime,1997,241
Mononoke-hime,1997,242
Once Upon a Time in America,1984,12
Once Upon a Time in America,1984,243
Once Upon a Time in America,1984,244
Once Upon a Time in America,1984,245
Raiders of the Lost Ark,1981,55
Raiders of the Lost Ark,1981,246
Raiders of the Lost Ark,1981,247
Raiders of the Lost Ark,1981,248
The Shining,1980,58
The Shining,1980,249
The Shining,1980,250
The Shining,1980,251
Apocalypse Now,1979,252
Apocalypse Now,1979,4
Apocalypse Now,1979,13
Apocalypse Now,1979,253
Alien,1979,254
Alien,1979,255
